Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
375,168.500000,145.712000,128.000000,19,5,64,5
376,168.500000,145.892000,134.300000,19,5,57,5
377,168.500000,146.163000,132.500000,19,5,59,5
378,168.500000,145.515000,123.500000,19,5,69,5
379,168.500000,145.469000,116.300000,19,5,77,5
380,168.500000,145.577000,128.900000,19,5,63,5
381,168.500000,145.425000,127.100000,19,5,65,5
382,168.500000,146.244000,132.500000,19,5,59,5
383,168.500000,145.532000,130.700000,19,5,61,5
384,168.500000,144.965000,130.700000,19,5,61,5
385,168.500000,146.603000,130.700000,19,5,61,5
386,168.500000,145.235000,127.100000,19,5,65,5
387,168.500000,145.739000,128.900000,19,5,63,5
388,168.500000,145.749000,126.200000,19,5,66,5
389,168.500000,145.766000,123.500000,19,5,69,5
390,168.500000,146.514000,131.600000,19,5,60,5
391,168.500000,145.902000,126.200000,19,5,66,5
392,168.500000,146.729000,128.900000,19,5,63,5
393,168.500000,146.433000,131.600000,19,5,60,5
394,168.500000,145.802000,134.300000,19,5,57,5
395,168.500000,145.820000,127.100000,19,5,65,5
396,168.500000,145.398000,129.900000,19,5,62,4
397,168.500000,146.018000,126.200000,19,5,66,5
398,168.500000,145.514000,117.200000,19,5,76,5
399,168.500000,146.351000,129.800000,19,5,62,5
400,168.500000,147.458000,129.800000,19,5,62,5
401,168.500000,146.145000,127.100000,19,5,65,5
402,168.500000,146.532000,132.500000,19,5,59,5
403,168.500000,146.162000,128.900000,19,5,63,5
404,168.500000,145.884000,128.900000,19,5,63,5
405,168.500000,146.972000,134.300000,19,5,57,5
406,168.500000,145.577000,131.600000,19,5,60,5
407,168.500000,145.451000,128.000000,19,5,64,5
408,168.500000,145.208000,125.300000,19,5,67,5
409,168.500000,147.116000,130.700000,19,5,61,5
410,168.500000,146.110000,119.100000,19,5,74,4
411,168.500000,146.774000,134.300000,19,5,57,5
412,168.500000,145.937000,124.400000,19,5,68,5
413,168.500000,145.514000,119.000000,19,5,74,5
414,168.500000,146.595000,127.100000,19,5,65,5
415,168.500000,146.783000,124.400000,19,5,68,5
416,168.500000,145.263000,130.700000,19,5,61,5
417,168.500000,145.775000,122.600000,19,5,70,5
418,168.500000,145.722000,121.700000,19,5,71,5
419,168.500000,145.937000,129.800000,19,5,62,5
420,168.500000,146.153000,126.200000,19,5,66,5
421,168.500000,146.198000,125.300000,19,5,67,5
422,168.500000,144.947000,131.600000,19,5,60,5
423,168.500000,148.646000,133.400000,19,5,58,5
424,168.500000,146.135000,129.800000,19,5,62,5
425,168.500000,145.065000,132.500000,19,5,59,5
426,168.500000,145.694000,127.100000,19,5,65,5
427,168.500000,145.236000,120.900000,19,5,72,4
428,168.500000,146.505000,130.700000,19,5,61,5
429,168.500000,146.279000,133.400000,19,5,58,5
430,168.500000,146.955000,127.100000,19,5,65,5
431,168.500000,145.370000,128.900000,19,5,63,5
432,168.500000,146.675000,130.700000,19,5,61,5
433,168.500000,146.099000,129.800000,19,5,62,5
434,168.500000,146.567000,132.500000,19,5,59,5
435,168.500000,145.955000,126.200000,19,5,66,5
436,168.500000,145.748000,132.500000,19,5,59,5
437,168.500000,145.982000,129.800000,19,5,62,5
438,168.500000,145.390000,131.600000,19,5,60,5
439,168.500000,146.036000,130.700000,19,5,61,5
440,168.500000,145.084000,119.900000,19,5,73,5
441,168.500000,145.505000,130.700000,19,5,61,5
442,168.500000,145.982000,123.500000,19,5,69,5
443,168.500000,145.793000,130.700000,19,5,61,5
444,168.500000,146.819000,127.100000,19,5,65,5
445,168.500000,146.090000,128.000000,19,5,64,5
446,168.500000,144.868000,128.100000,19,5,64,4
447,168.500000,148.089000,131.600000,19,5,60,5
448,168.500000,148.313000,132.500000,19,5,59,5
449,168.500000,145.577000,130.700000,19,5,61,5
450,168.500000,145.919000,134.300000,19,5,57,5
451,168.500000,146.405000,127.100000,19,5,65,5
452,168.500000,146.902000,128.000000,19,5,64,5
453,168.500000,146.469000,128.900000,19,5,63,5
454,168.500000,146.081000,121.700000,19,5,71,5
455,168.500000,146.090000,131.600000,19,5,60,5
456,168.500000,145.910000,128.900000,19,5,63,5
457,168.500000,145.749000,130.700000,19,5,61,5
458,168.500000,146.873000,133.400000,19,5,58,5
459,168.500000,146.342000,123.500000,19,5,69,5
460,168.500000,146.243000,129.800000,19,5,62,5
461,168.500000,146.162000,131.600000,19,5,60,5
462,168.500000,145.110000,126.200000,19,5,66,5
463,168.500000,145.694000,127.100000,19,5,65,5
464,168.500000,145.587000,132.500000,19,5,59,5
465,168.500000,145.119000,125.300000,19,5,67,5
466,168.500000,146.279000,128.000000,19,5,64,5
467,168.500000,144.155000,126.200000,19,5,66,5
468,168.500000,145.244000,129.800000,19,5,62,5
469,168.500000,145.748000,131.600000,19,5,60,5
470,168.500000,146.127000,114.500000,19,5,79,5
471,168.500000,146.603000,129.800000,19,5,62,5
472,168.500000,146.326000,133.400000,19,5,58,5
473,168.500000,146.289000,126.200000,19,5,66,5
474,168.500000,146.333000,120.800000,19,5,72,5
475,168.500000,145.343000,130.700000,19,5,61,5
476,168.500000,145.586000,128.900000,19,5,63,5
477,168.500000,147.395000,123.500000,19,5,69,5
478,168.500000,145.442000,128.900000,19,5,63,5
479,168.500000,144.074000,126.200000,19,5,66,5
480,168.500000,146.189000,117.200000,19,5,76,5
481,168.500000,145.280000,125.300000,19,5,67,5
